EMPLOYER	JOB TITLE	BASE SALARY	LOCATION	SUBMIT DATE	START DATE
ASTIR IT SOLUTIONS INC	QA ANALYST	60,000	PHILADELPHIA, PA	04/26/2023	05/03/2023
PROBPM INC	QA ANALYST	60,000	FRISCO, TX	06/10/2023	10/01/2023
KALTECH CONSULTING INC	QA ANALYST	62,067	EGG HARBOR TOWNSHIP, NJ	06/20/2023	10/01/2023
ALTEXT INC	QA ANALYST	63,000	BLOOMINGTON, IL	03/23/2023	04/03/2023
Z3 TECHNOLOGIES INC	QA ANALYST	63,190	RANCHO CORDOVA, CA	04/18/2023	04/25/2023
OBJECTSTREAM INC	QA ANALYST	65,000	OKLAHOMA CITY, OK	04/11/2023	10/01/2023
CHEUNG KONG HOLDING INC	QA ANALYST	65,000	EAST POINT, GA	04/11/2023	10/01/2023
GS SOFT INC	QA ANALYST	65,000	TROY, MI	04/28/2023	05/01/2023
DOTCOM TEAM LLC	QA ANALYST	65,000	IRVINE, CA	02/08/2023	02/13/2023
C-VISION INC	QA ANALYST	65,083	WARREN, MI	05/16/2023	09/29/2023
APPTAD INC	QA ANALYST	65,083	EDWARDSVILLE, IL	06/02/2023	07/24/2023
3R INFO LLC	QA ANALYST	65,083	CANTON, MI	06/20/2023	10/01/2023
WB SOLUTIONS LLC	QA ANALYST	65,478	TAMPA, FL	05/03/2023	10/01/2023
PIORION SOLUTIONSINC	QA ANALYST	65,915	TALLAHASSEE, FL	02/23/2023	03/01/2023
DVI TECHNOLOGES INC	QA ANALYST	65,936	PITTSBURGH, PA	03/14/2023	03/14/2023
VARIYAS GLOBAL SOLUTIONS INC	QA ANALYST	66,000	TROY, MI	02/08/2023	02/20/2023
COUNCIL FOR AFFORDABLE QUALITY HEALTHCARE	QA ANALYST	67,392	WASHINGTON, DC	05/31/2023	10/01/2023
COUNCIL FOR AFFORDABLE QUALITY HEALTHCARE	QA ANALYST	67,392	WASHINGTON, DC	06/16/2023	10/01/2023
SERIGOR INC	QA ANALYST	67,392	WASHINGTON, DC	06/22/2023	10/01/2023
INFOMERICA INC	QA ANALYST	67,829	LANSING, MI	01/31/2023	06/19/2023
GS SOFT INC	QA ANALYST	68,000	ATLANTA, GA	02/06/2023	02/07/2023
ECHELON IT INC	QA ANALYST	68,286	MECHANICSBURG, PA	08/10/2023	08/21/2023
DEVOIR SOFTWARE SOLUTIONS LLC	QA ANALYST	69,000	INDIANAPOLIS, IN	05/10/2023	10/01/2023
PATIMALLA INC	QA ANALYST	69,720	OVERLAND PARK, KS	08/29/2023	10/01/2023
INTERSOFT DATA LABS INC	QA ANALYST	70,000	COLUMBIA, MD	05/26/2023	10/01/2023
PALVAI GLOBAL SERVICES INC	QA ANALYST	71,261	LIVE OAK, TX	05/23/2023	10/01/2023
SYSTECHCORP INC	QA ANALYST	72,000	WEXFORD, PA	07/06/2023	01/01/2024
ARVYN TECHNOLOGIES INC	QA ANALYST	72,000	TAMPA, FL	02/03/2023	02/06/2023
SEW-TECH INC	QA ANALYST	72,093	LOUISVILLE, KY	06/18/2023	10/01/2023
ERPLABS INC	QA ANALYST	72,738	CINCINNATI, OH	08/08/2023	08/08/2023
ERPLABS INC	QA ANALYST	72,738	CINCINNATI,, OH	08/04/2023	11/21/2023
IKON IT SOLUTIONS INC	QA ANALYST	72,966	IRVING, TX	06/22/2023	10/02/2023
IT RYSOURCES INC	QA ANALYST	73,237	HILLSBORO, OR	04/18/2023	10/01/2023
MAA IT SOLUTIONS LLC	QA ANALYST	74,000	MOUNT PROSPECT, IL	04/28/2023	10/01/2023
MAA IT SOLUTIONS LLC	QA ANALYST	74,000	MOUNT PROSPECT, IL	05/02/2023	10/01/2023
NEOSIS IT SOLUTIONS LLC	QA ANALYST	74,000	ROLLING MDWS, IL	06/13/2023	10/01/2023
SATCON INC	QA ANALYST	74,000	LEWIS CENTRE, OH	06/13/2023	10/01/2023
ATOKA TECHNOLOGIES INC	QA ANALYST	74,381	JUSTIN, TX	03/14/2023	03/14/2023
SHRETECH INC	QA ANALYST	74,381	FRISCO, TX	05/17/2023	05/22/2023
SHRETECH INC	QA ANALYST	74,381	FRISCO, TX	05/31/2023	06/08/2023
DISCOVER TECHNOLOGIES INC	QA ANALYST	74,381	FARMERS BRANCH, TX	06/15/2023	10/01/2023
ASTIR IT SOLUTIONS INC	QA ANALYST	74,500	DALLAS, TX	01/03/2023	01/11/2023
AAA VELSYS LLC	QA ANALYST	75,000	ATLANTA, GA	09/22/2023	10/01/2023
ASTIR TECHNOLOGIES LLC	QA ANALYST	75,000	IRVING, TX	02/21/2023	02/28/2023
SYSSOL INC	QA ANALYST	75,000	KANSAS CITY, KS	07/20/2023	09/28/2023
SEPALS CORPORATION	QA ANALYST	75,000	CLEARWATER, FL	05/12/2023	09/01/2023
UNIQUE LEKEY RESOURCES INC	QA ANALYST	75,000	COLLIERVILLE, TN	05/15/2023	10/02/2023
VLINK INC	QA ANALYST	75,000	SOUTH WINDSOR, CT	05/23/2023	10/01/2023
GSS INFOTECH CT INC	QA ANALYST	75,130	SUWANEE, GA	07/11/2023	07/12/2023
LOGIC PLANET INC	QA ANALYST	75,150	FARMERS BRANCH, TX	03/23/2023	03/23/2023
INFOMERICA INC	QA ANALYST	75,234	ROUND ROCK, TX	04/04/2023	05/01/2023
GREAT AMERICA TECHNOLOGIES INC	QA ANALYST	75,296	TAMPA, FL	08/02/2023	10/01/2023
DILIGENCE SYSTEMS INC	QA ANALYST	75,296	PHILADELPHIA, PA	05/17/2023	10/01/2023
DATASTACK TECHNOLOGIES LLC	QA ANALYST	75,296	CLAYMONT, DE	05/23/2023	10/01/2023
DILIGENCE SYSTEMS INC	QA ANALYST	75,296	PHILADELPHIA, PA	05/24/2023	10/01/2023
SVK TECHNOLOGY SOLUTIONS INC	QA ANALYST	75,566	SOUTH PLAINFIELD, NJ	03/03/2023	03/13/2023
COMPREHENSIVE RESOURCES INC	QA ANALYST	75,566	OLD BRIDGE, NJ	06/15/2023	10/01/2023
DEVANSEE ANALYTICS LLC	QA ANALYST	75,567	JERSEY CITY, NJ	06/20/2023	10/01/2023
DEVANSEE ANALYTICS LLC	QA ANALYST	75,567	JERSEY CITY, NJ	06/21/2023	10/01/2023
SKILLTUNE TECHNOLOGIES INC	QA ANALYST	75,600	NORTH BRUNSWICK, NJ	01/26/2023	02/02/2023
SKILLTUNE TECHNOLOGIES INC	QA ANALYST	75,600	NORTH BRUNSWICK, NJ	01/31/2023	02/07/2023
TANISHA SYSTEMS INC	QA ANALYST	75,600	ISELIN, NJ	05/18/2023	10/01/2023
TANISHA SYSTEMS INC	QA ANALYST	75,600	NEW YORK, NY	06/14/2023	10/01/2023
BRUHAT TECHNOLOGIES INC	QA ANALYST	75,755	IRVING, TX	05/10/2023	05/18/2023
INFOMERICA INC	QA ANALYST	75,795	HOUSTON, TX	05/02/2023	10/01/2023
SVAN IT SOLUTIONS INC	QA ANALYST	75,796	HOUSTON, TX	06/15/2023	10/01/2023
SVAN IT SOLUTIONS INC	QA ANALYST	75,796	HOUSTON, TX	06/15/2023	10/01/2023
SYSLEADS INC	QA ANALYST	75,800	HOUSTON, TX	06/12/2023	10/01/2023
SATIN SOLUTIONS LLC	QA ANALYST	76,000	TAMPA, FL	01/12/2023	01/19/2023
ASTIR IT SOLUTIONS INC	QA ANALYST	76,000	BASKING RIDGE, NJ	05/17/2023	10/01/2023
STAR TECHNOLOGY SOLUTIONS INC	QA ANALYST	76,149	BLACKLICK, OH	05/13/2023	05/13/2023
MARC CONSULTING LLC	QA ANALYST	76,315	NORWALK, CT	07/27/2023	07/27/2023
PARAM CONSULTING SERVICES INC	QA ANALYST	77,459	WALTHAM, MA	04/12/2023	04/12/2023
COGNISM INC	QA ANALYST	77,459	NEW YORK, NY	05/31/2023	10/01/2023
ACADIA TECHNOLOGIES INC	QA ANALYST	77,459	MALDEN,, MA	06/15/2023	06/15/2023
PARAM CONSULTING SERVICES INC	QA ANALYST	77,459	WOBURN, MA	06/23/2023	06/23/2023
COLLABORATE SOLUTIONS INC	QA ANALYST	77,563	JOHNSTON, IA	06/06/2023	06/26/2023
ASTIR IT SOLUTIONS INC	QA ANALYST	77,600	WESTON, FL	04/17/2023	04/24/2023
SKILLFUL TECHNOLOGIES INC	QA ANALYST	78,000	ANN ARBOR, MI	09/11/2023	09/11/2023
LEEDS LLC	QA ANALYST	78,000	NEWARK, NJ	05/08/2023	10/01/2023
LEEDS LLC	QA ANALYST	78,000	NEWARK, NJ	05/15/2023	10/01/2023
TECHNOLOGIC SOLUTIONS LLC	QA ANALYST	78,000	NEWARK, NJ	06/12/2023	10/01/2023
AGILE INFOWAYS LLC	QA ANALYST	78,000	CORAL SPRINGS, FL	06/12/2023	10/01/2023
TECHNOLOGIC SOLUTIONS LLC	QA ANALYST	78,000	NEWARK, NJ	06/14/2023	10/01/2023
CONFINET SOLUTION INC	QA ANALYST	78,000	WHIPPANY, NJ	08/25/2023	08/28/2023
IVYTECH SOLUTIONS INC	QA ANALYST	78,957	ARLINGTON HEIGHTS, IL	06/21/2023	10/01/2023
VARIYAS GLOBAL SOLUTIONS INC	QA ANALYST	79,000	WHEELING, IL	05/26/2023	10/01/2023
REGENT STRATEGIC SOLUTIONS	QA ANALYST	79,102	CHARLOTTE, NC	07/26/2023	07/27/2023
REGENT STRATEGIC SOLUTIONS	QA ANALYST	79,102	CHARLOTTE, NC	07/26/2023	07/27/2023
METIZ TECHNOLOGIES LLC	QA ANALYST	79,290	FAIRBORN, OH	06/16/2023	10/01/2023
METIZ TECHNOLOGIES LLC	QA ANALYST	79,290	FAIRBORN, OH	06/16/2023	10/01/2023
METIZ TECHNOLOGIES LLC	QA ANALYST	79,290	FAIRBORN, OH	06/16/2023	10/01/2023
METIZ TECHNOLOGIES LLC	QA ANALYST	79,290	FAIRBORN, OH	06/16/2023	10/01/2023
PIORION SOLUTIONSINC	QA ANALYST	79,414	MINNETONKA, MN	05/10/2023	05/15/2023
MOBILE PROGRAMMING LLC	QA ANALYST	79,456	AGOURA HILLS, CA	05/08/2023	10/01/2023
I3GLOBALTECH INC	QA ANALYST	79,643	SAINT LOUIS, MO	08/11/2023	08/16/2023
EVEREST GLOBAL SOLUTIONS INC	QA ANALYST	79,664	FARMINGTON HILLS, MI	04/28/2023	05/08/2023
E-NEXUS INC	QA ANALYST	80,000	MASON, OH	03/31/2023	04/10/2023
CLOUD DATA SYSTEMS INC	QA ANALYST	80,000	DALLAS, TX	02/22/2023	03/01/2023
RACEDOG LIMITED	QA ANALYST	80,000	LEWIS  CENTER, OH	06/08/2023	10/01/2023
RACEDOG LIMITED	QA ANALYST	80,000	LEWIS  CENTER, OH	06/08/2023	10/01/2023
RACEDOG LIMITED	QA ANALYST	80,000	LEWIS  CENTER, OH	06/08/2023	10/01/2023
RACEDOG LIMITED	QA ANALYST	80,000	LEWIS  CENTER, OH	06/08/2023	10/01/2023
RACEDOG LIMITED	QA ANALYST	80,000	LEWIS CENTER, OH	06/14/2023	10/01/2023
UNITED INFO SERVICES INC	QA ANALYST	80,000	SCHAUMBURG, IL	06/23/2023	10/01/2023
EVEREST TECHNOLOGIES INC	QA ANALYST	80,059	ALPHARETTA, GA	03/10/2023	03/20/2023
CONCEPT SOFTWARE & SERVICES INC	QA ANALYST	80,059	ALPHARETTA, GA	06/16/2023	10/01/2023
COGNIER INC	QA ANALYST	80,059	BUFORD, GA	06/16/2023	10/01/2023
COGNIER INC	QA ANALYST	80,059	BUFORD, GA	06/16/2023	10/01/2023
COGNIER INC	QA ANALYST	80,059	BUFORD, GA	06/16/2023	10/01/2023
COGNIER INC	QA ANALYST	80,059	BUFORD, GA	06/16/2023	10/01/2023
COGNIER INC	QA ANALYST	80,059	BUFORD, GA	06/16/2023	10/01/2023
S2INTEGRATORS LLC	QA ANALYST	80,059	ATLANTA, GA	06/19/2023	10/01/2023
EDVENSWA TECH INC	QA ANALYST	80,100	ROSWELL, GA	06/19/2023	10/01/2023
PYRAMID TECHNOLOGY SOLUTIONS INC	QA ANALYST	80,122	SAN ANTONIO, TX	08/18/2023	11/02/2023
MAA IT SOLUTIONS LLC	QA ANALYST	80,150	ALPHARETTA, GA	04/28/2023	10/01/2023
MAA IT SOLUTIONS LLC	QA ANALYST	80,150	ALPHARETTA, GA	05/02/2023	10/01/2023
DEV SYSTEMS INC	QA ANALYST	80,392	MANCHESTER, CT	06/05/2023	10/01/2023
ERP SMARTLABS LLC	QA ANALYST	80,621	ALBANY, NY	08/04/2023	08/14/2023
VKAAS LLC	QA ANALYST	80,652	LISLE, IL	04/11/2023	10/01/2023
DATSON360 LLC	QA ANALYST	80,662	ANN ARBOR, MI	01/30/2023	01/30/2023
ELLKAY LLC	QA ANALYST	80,850	ELMWOOD PARK, NJ	07/13/2023	09/18/2023
NEW YORK TECHNOLOGY PARTNERS INC	QA ANALYST	81,000	CAMP HILL, PA	08/28/2023	09/18/2023
LORVEN GROUP INC	QA ANALYST	81,099	FULSHEAR, TX	08/25/2023	09/01/2023
PIORION SOLUTIONSINC	QA ANALYST	81,286	SANFORD, FL	02/24/2023	03/01/2023
APPZLOGIC INC	QA ANALYST	81,328	FARMERS BRANCH, TX	09/14/2023	10/01/2023
APPZLOGIC INC	QA ANALYST	81,328	FARMERS BRANCH, TX	09/22/2023	01/02/2024
SHRETECH INC	QA ANALYST	81,328	FRISCO, TX	08/14/2023	08/22/2023
BRIOZON INFOTECH LLC	QA ANALYST	81,328	DENTON, TX	08/24/2023	08/31/2023
VARIYAS GLOBAL SOLUTIONS INC	QA ANALYST	81,350	FRISCO, TX	07/17/2023	07/24/2023
TRINAY TECHNOLOGY SOLUTIONS	QA ANALYST	81,900	SOUTH WINDSOR, CT	06/12/2023	10/01/2023
COLLABORATE SOLUTIONS INC	QA ANALYST	81,910	RICHMOND, VA	08/22/2023	09/01/2023
IT RYSOURCES INC	QA ANALYST	82,000	DALLAS, TX	09/18/2023	10/01/2023
CITIUSTECH INC	QA ANALYST	82,000	BRENTWOOD, TN	04/11/2023	05/01/2023
UNICORN TECHNOLOGIESLLC	QA ANALYST	82,000	DALLAS, TX	07/10/2023	09/24/2023
KOLLASOFT INC	QA ANALYST	82,000	SALEM, OR	01/19/2023	07/02/2023
YASH & LUJAN CONSULTING INC	QA ANALYST	82,000	SAN ANTONIO, TX	02/06/2023	06/21/2023
HUMETIS TECHNOLOGIES INC	QA ANALYST	82,118	SACRAMENTO, CA	01/12/2023	01/16/2023
ARVIN ACME TECHNOLOGIES INC	QA ANALYST	82,202	CHICAGO, IL	09/01/2023	09/01/2023
AKHIL SOFTWARE TECHNOLOGIES LLC	QA ANALYST	82,472	IRVING, TX	07/07/2023	07/07/2023
CLASSROOM SUPPORT SERVICES LLC	QA ANALYST	82,500	RANCHO CORDOVA, CA	06/22/2023	10/01/2023
CLASSROOM SUPPORT SERVICES LLC	QA ANALYST	82,500	RANCHO CORDOVA, CA	06/22/2023	10/01/2023
CLASSROOM SUPPORT SERVICES LLC	QA ANALYST	82,500	RANCHO CORDOVA, CA	06/22/2023	10/01/2023
SLK AMERICA INC	QA ANALYST	83,000	HOOVER, AL	08/08/2023	09/30/2023
SLK AMERICA INC	QA ANALYST	83,000	HOOVER, AL	07/14/2023	07/17/2023
ACADIA TECHNOLOGIES INC	QA ANALYST	83,198	WEST PALM BEACH, FL	04/28/2023	04/28/2023
E-NEXUS INC	QA ANALYST	83,200	MASON, OH	03/20/2023	03/28/2023
COLLABORATE SOLUTIONS INC	QA ANALYST	83,554	JOHNSTON, IA	07/10/2023	07/10/2023
COLLABORATE SOLUTIONS INC	QA ANALYST	83,554	JOHNSTON, IA	08/01/2023	08/01/2023
MINDSYS INC	QA ANALYST	83,845	HUNTERSVILLE, NC	01/04/2023	03/19/2023
DEVANSEE ANALYTICS LLC	QA ANALYST	83,846	CHARLOTTE, NC	06/20/2023	10/01/2023
DEVANSEE ANALYTICS LLC	QA ANALYST	83,846	CHARLOTTE, NC	06/21/2023	10/01/2023
RACEDOG LIMITED	QA ANALYST	84,000	CHESHIRE, CT	05/16/2023	06/01/2023
EVEREST TECHNOLOGIES INC	QA ANALYST	85,000	COLUMBUS, OH	09/19/2023	10/01/2023
SARANSH INC	QA ANALYST	85,000	PRINCETON, NJ	04/20/2023	10/01/2023
SARANSH INC	QA ANALYST	85,000	PRINCETON, NJ	04/20/2023	10/01/2023
V3TECH SOLUTIONS INC	QA ANALYST	85,000	FLOWOOD, MS	02/21/2023	07/15/2023
VLINK INC	QA ANALYST	85,000	AVENEL, NJ	03/07/2023	09/01/2023
CIGNITI TECHNOLOGIES INC	QA ANALYST	85,000	LOUISVILLE, KY	05/09/2023	05/16/2023
CIGNITI TECHNOLOGIES INC	QA ANALYST	85,000	ALLENTOWN, PA	05/22/2023	05/30/2023
EVEREST TECHNOLOGIES INC	QA ANALYST	85,000	COLUMBUS, OH	05/23/2023	10/01/2023
EVEREST TECHNOLOGIES INC	QA ANALYST	85,000	COLUMBUS, OH	05/23/2023	10/01/2023
XFORIA INC	QA ANALYST	85,000	IRVING, TX	05/24/2023	10/01/2023
CIGNITI TECHNOLOGIES INC	QA ANALYST	85,000	ALLENTOWN, PA	06/02/2023	06/10/2023
EVOLUTYZ CORP	QA ANALYST	85,000	NAPERVILLE, IL	06/19/2023	10/01/2023
COLLABORATE SOLUTIONS INC	QA ANALYST	85,467	JOHNSTON, IA	06/05/2023	06/26/2023
TECHNUMEN INC	QA ANALYST	85,575	COLUMBUS, OH	06/26/2023	06/26/2023
TYLER TECHNOLOGIES INC	QA ANALYST	85,833	PLANO, TX	01/13/2023	01/23/2023
TYLER TECHNOLOGIES INC	QA ANALYST	85,833	PLANO, TX	01/18/2023	01/23/2023
EMTEK SOLUTIONS INC	QA ANALYST	85,925	ALPHARETTA, GA	09/06/2023	10/01/2023
REINCIAR TECHNOLOGIES INC	QA ANALYST	85,925	CUMMING, GA	07/14/2023	08/01/2023
SAI TECHNOLOGIES LLC	QA ANALYST	85,925	CUMMING, GA	07/03/2023	01/01/2024
AARNA PRIYA INC	QA ANALYST	86,000	HERNDON, VA	09/11/2023	09/12/2023
ALLIED INFORMATICS INC	QA ANALYST	86,000	DULUTH, GA	08/10/2023	10/01/2023
SLK AMERICA INC	QA ANALYST	86,174	HOOVER, AL	07/14/2023	07/17/2023
UNICORN TECHNOLOGIESLLC	QA ANALYST	86,526	DALLAS, TX	05/22/2023	10/01/2023
AADVA LLC	QA ANALYST	86,549	LOS ANGELES, CA	06/13/2023	10/01/2023
AJAH TECHNOLOGIES INC	QA ANALYST	86,550	FITCHBURG, MA	06/13/2023	06/19/2023
AADVA LLC	QA ANALYST	86,550	NORTHBOROUGH, MA	06/21/2023	10/01/2023
ARKHYA TECH INC	QA ANALYST	86,612	HERNDON, VA	06/19/2023	10/01/2023
ICLOUD TECHNOLOGIES CORP	QA ANALYST	86,650	STERLING, VA	06/17/2023	10/01/2023
IMINDS TECHNOLOGY SYSTEMS INC	QA ANALYST	86,770	IRVING, TX	06/15/2023	10/02/2023
CYBER INFOTECH LLC	QA ANALYST	87,000	GAITHERSBURG, MD	05/04/2023	10/01/2023
CYBER INFOTECH LLC	QA ANALYST	87,000	GAITHERSBURG, MD	05/04/2023	10/01/2023
TOPSYS IT SOLUTIONS LLC	QA ANALYST	87,485	BATON ROUGE, LA	04/12/2023	04/24/2023
INFOMERICA INC	QA ANALYST	87,859	CUMBERLAND, RI	08/22/2023	10/01/2023
ITIYAM LLC	QA ANALYST	88,600	HOUSTON, TX	08/02/2023	08/02/2023
ITIYAM LLC	QA ANALYST	88,600	HOUSTON, TX	08/01/2023	08/01/2023
INTERNATIONAL SOFTWARE SYSTEMS INC	QA ANALYST	89,000	GREENBELT, MD	09/13/2023	10/01/2023
VISION IT USA INC	QA ANALYST	89,000	TOMBALL, TX	09/21/2023	09/21/2023
ITIYAM LLC	QA ANALYST	89,000	HOUSTON, TX	08/04/2023	08/04/2023
WILMER TECHNOLOGIES INC	QA ANALYST	89,735	STERLING, NC	01/26/2023	02/06/2023
WILMER TECHNOLOGIES INC	QA ANALYST	89,735	STERLING, NC	01/26/2023	02/06/2023
WILMER TECHNOLOGIES INC	QA ANALYST	89,735	HOLLY SPRINGS, NC	01/26/2023	02/06/2023
WILMER TECHNOLOGIES INC	QA ANALYST	89,735	HOLLY SPRINGS, NC	01/26/2023	02/06/2023
WILMER TECHNOLOGIES INC	QA ANALYST	89,735	STERLING, VA	01/26/2023	02/06/2023
WILMER TECHNOLOGIES INC	QA ANALYST	89,735	STERLING, VA	01/26/2023	02/06/2023
COGENT INFOTECH CORPORATION	QA ANALYST	90,000	DURHAM, NC	09/15/2023	09/25/2023
SARANSH INC	QA ANALYST	90,000	SUNNYVALE, CA	04/20/2023	10/01/2023
DGN TECHNOLOGIES INC	QA ANALYST	90,000	SACRAMENTO, CA	05/03/2023	05/10/2023
CENTRAPRISE CORP	QA ANALYST	90,000	ORLANDO, FL	01/20/2023	02/06/2023
PALVAI GLOBAL SERVICES INC	QA ANALYST	90,000	RALEIGH, NC	02/03/2023	02/13/2023
ASTIR IT SOLUTIONS INC	QA ANALYST	90,000	SAN JOSE, CA	03/14/2023	07/10/2023
